island_id,area_id,district_id,spot_id (PK),spotName,map_x,map_y,capture_cost,drop_item_id (FK),列 10
1000,11,111,11101,Maya Port,,,15,111011,
1000,11,111,11102,Dawnhill House,,,,,
1000,11,112,11201,Sugarcane Field,,,10,112011,
1000,11,112,11202,Farmar House,,,,,
1000,11,113,11301,Bogo Transit Terminal,,,,,
1000,11,113,11302,Bogo Hilltop Shrine,,,,,
1000,11,113,11303,Golden Eye Tower,,,,,
1000,11,113,11304,Golden Eye Tower,,,,,
1000,11,113,11305,Golden Wheat Hamlet,,,,,
1000,11,113,11306,Shattered Beacon,,,,,
1000,11,113,11307,Bogo North Mountain,,,,,
1000,12,121,12101,Cebu Safari Fortress,,,,,
1000,12,121,12102,Uragay West UG,,,,,
1000,12,121,12103,Uragay East UG,,,,,
1000,12,121,12104,Uragay Spring Sanctuary,,,,,
1000,12,121,12105,Lolo's Farm Hut,,,,,
1000,12,122,12201,The Iron Port,,,,,
1000,12,122,12202,Danao Gunsmith Alley,,,,,
1000,12,122,12203,Nao's House,,,50,122031,
1000,12,122,12204,Aki's House,,,50,122041,
1000,12,122,12205,Kei's House,,,50,122051,
1000,12,122,12206,Issei's House,,,50,122061,
1000,12,123,12301,Q-Park Giant Statue,,,,,
1000,12,123,12302,Gatekeeper's Quarry,,,,,
1000,13,131,13101,IT Park,,,10,131011,
1000,13,131,13102,Waterfront Hotel,,,20,131021,
1000,13,131,13103,Ayala Malls Center,,,10,131031,
1000,13,132,13201,Magellan's Cross,,,15,132011,
1000,13,132,13202,Fort San Pedro,,,20,132021,
1000,13,132,13203,Carbon Market,,,15,132031,
1000,13,132,13204,BASILICA del SANTO NINO ,,,30,132041,
1000,13,133,13302,Marcelo Fernan Bridge,,,20,133021,
1000,13,133,13303,Vermillion Cargo Vault,,,25,133031,
1000,13,134,13401,Talisay Lechon Stalls,,,20,134011,
1000,13,134,13402,Talisay Landing Marker,,,20,134021,
1000,14,141,14101,Luminous Power Spire,,,30,141011,
1000,14,141,14102,Starlight Boardwalk,,,20,141021,
1000,14,142,14201,Ancient Meat Fortress,,,15,142011,
1000,14,142,14202,Heritage Ancestral Houses,,,20,142021,
1000,14,143,14301,The Torta Sanctuary,,,25,143011,
1000,14,143,14302,Argao Stone Gate,,,30,143021,
1000,14,143,14303,Fisherman's Salt Cabin,,,25,143031,
1000,15,151,15101,Moalboal Diver's Haven,,,20,151011,
1000,15,151,15102,Kawasan Falls Sanctuary,,,30,151021,
1000,15,151,15103,Bahay Kubo Shelter,,,15,151031,
1000,15,151,15104,Panagsama Fisher's Shack,,,20,151041,
1000,15,152,15201,Osmeña Apex,,,20,152011,
1000,15,152,15202,Nipa Rest House,,,15,152021,
1000,15,152,15203,Tindalo Boarding House,,,15,152031,
1000,15,153,15301,Whale Shark Cove,,,30,153011,
1000,15,153,15302,Cuartel Ruins,,,25,153021,
1000,15,153,15303,Rust-Brick Tool House,,,15,153031,
1000,16,161,16101,Mactan Shrine,,,25,161011,
1000,16,161,16102,The Discovery Galleon,,,20,161021,
1000,16,161,16103,Resort Hotel,,,15,161031,
1000,16,162,16201,MCIA,,,40,162021,
2000,21,211,21101,Victorias Milling Company,,,20,211011,
2000,21,211,21102,Sagay Sugar Locomotive,,,,,
2000,,,,,,,,,
2000,21,212,21201,Cadiz City Port,,,,,
2000,22,221,22101,Balay Negrense,,,,,
2000,22,221,22102,Company Station,,,,,
2000,22,221,22103,Silay Town,,,,,
2000,22,222,22201,MassKara Plaza,,,,,
2000,22,222,22202,Manokan Country,,,,,
2000,23,231,23101,Mt. Kanlaon Volcano,,,30,231011,
2000,23,231,23102,Highland Vegetable Terraces,,,,,
2000,23,232,23201,San Carlos Port,,,,,
2000,23,232,23202,SaCaSol Solar Farm,,,,,
2000,23,232,23203,Mayana Peak,,,,,
2000,23,232,23204,Old Lantern Storage,,,,,
2000,24,241,24101,Gym-Silliman University,,,,,
2000,24,241,24102,Silliman University Church,,,,,
2000,24,241,24103,Faculty of Law,,,,,
2000,24,241,24104,Faculty of Computer Science,,,,,
2000,24,241,24105,Faculty of Economics,,,,,
2000,24,241,24106,Faculty of Commerce,,,,,
2000,24,241,24107,Faculty of Education,,,,,
2000,24,241,24108,Faculty of Agriculture,,,,,
2000,24,241,24109,Faculty of Music,,,,,
2000,24,241,24110,Dumaguete Port,,,,,
2000,24,242,24201,Dumaguete Belfry,,,15,242011,
2000,24,242,24202,Dumaguete Public Market,,,,,
2000,24,242,24203,Rizal Boulevard,,,,,
2000,24,242,24204,Sans Rival Bistro,,,,,
2000,24,242,24205,The Heritage Apothecary,,,,,
2000,24,242,24206,Iron Lifter's Club,,,,,
2000,24,242,24207,Quezon Park,,,,,
2000,24,242,24208,The Heritage Apothecary,,,,,
2000,24,242,24209,Black Barrel Depot,,,,,
2000,24,242,24210,Blackwater Traders,,,,,
2000,24,242,24211,Broken Mug Tavern,,,,,
2000,24,242,24212,SaCaSol Solar Farm,,,,,
2000,24,242,24213,Calenderia,,,,,
2000,24,242,24214,Dumaguete Inn,,,,,
2000,24,242,24215,Dumaguete Motel,,,,,
2000,24,242,24216,East Gate,,,,,
2000,24,242,24217,West Gate,,,,,
2000,24,242,24218, Student House,,,,,
2000,24,242,24219,Lawson,,,,,
2000,24,242,24220,Silliman Apartments,,,,,
2000,24,242,24221,Silliman Apartments,,,,,
3000,31,311,31101,Talibon Fish Port,,,,,
3000,31,312,31201,Tubigon RoRo Port,,,,,
3000,32,321,32101,The Chocolate Hills,,,20,321011,
3000,32,321,32102,Bilar Man-Made Forest,,,,,
3000,32,322,32201,Tarsier Sanctuary,,,25,322011,
3000,32,322,32202,Loboc River Cruise,,,,,
3000,32,322,32203,ipatan Twin Hanging Bridge,,,,,
3000,,,,,,,,,
3000,33,331,33101,Bohol-Panglao International Airport,,,,,
3000,33,332,33201,Tagbilaran City Port,,,,,
3000,33,332,33202,Blood Compact Shrine,,,,,
3000,33,332,33203,Baclayon Church,,,,,
3000,33,332,33204,Iron Stair Apartments,,,,,
3000,33,332,33205,White Beach,,,,,
3000,33,332,33206,Deep Harbor Depot,,,,,
3000,33,332,33207,Wolf Den Tavern,,,,,
3000,33,332,33208,Tagbilaran Hotel,,,,,
